Ref,Val,Package,PosX,PosY,Rot,Side
"C4","10u/50V/1206","C_1206_3216Metric",141.252000,-72.799800,-90.000000,top
"C5","10u/50V/1206","C_1206_3216Metric",138.547000,-88.649800,180.000000,top
"C6","10u/50V/1206","C_1206_3216Metric",156.017000,-72.559800,180.000000,top
"C7","10u/50V/1206","C_1206_3216Metric",127.027000,-88.669800,180.000000,top
"C8","100n/50V/0603","C_0603_1608Metric",143.382000,-71.924800,-90.000000,top
"C9","100n/50V/0603","C_0603_1608Metric",139.327000,-90.699800,180.000000,top
"C10","100n/50V/0603","C_0603_1608Metric",127.827000,-90.699800,180.000000,top
"C11","100n/50V/0603","C_0603_1608Metric",156.727000,-74.599800,180.000000,top
"C12","10u/50V/1206","C_1206_3216Metric",105.552000,-89.349800,180.000000,top
"C13","100n/50V/0603","C_0603_1608Metric",106.199239,-91.332724,180.000000,top
"C14","10u/50V/1206","C_1206_3216Metric",116.772000,-88.899800,180.000000,top
"C15","1uF/50V/1206","C_1206_3216Metric",149.452000,-73.199800,-90.000000,top
"C16","10u/50V/1206","C_1206_3216Metric",138.597000,-97.029800,180.000000,top
"C17","10u/50V/1206","C_1206_3216Metric",106.452000,-71.139800,180.000000,top
"C18","100n/50V/0603","C_0603_1608Metric",117.552000,-90.949800,180.000000,top
"C19","10u/50V/1206","C_1206_3216Metric",105.197000,-97.049800,180.000000,top
"C20","100n/50V/0603","C_0603_1608Metric",107.302000,-73.129800,180.000000,top
"C21","10u/50V/1206","C_1206_3216Metric",116.527000,-97.059800,180.000000,top
"C22","10u/50V/1206","C_1206_3216Metric",105.277000,-78.249800,180.000000,top
"C26","100n/50V/0603","C_0603_1608Metric",156.852000,-98.099800,0.000000,top
"C27","10u/50V/1206","C_1206_3216Metric",126.807000,-97.079800,180.000000,top
"C28","10u/50V/1206","C_1206_3216Metric",155.502000,-80.149800,180.000000,top
"Computer1","1723103102","MOLEX_1723103102",156.392000,-62.349800,180.000000,top
"GPS1","5-104361-1","TE_5-104361-1",112.314500,-105.129050,180.000000,top
"J1","2157601003","MOLEX_2157601004",124.252000,-57.389800,180.000000,top
"Lidar1","1723103102","MOLEX_1723103102",140.307625,-104.549800,0.000000,top
"Phone1","5-104361-1","TE_5-104361-1",121.343875,-105.129050,180.000000,top
"R4","590R/0603/1%","R_0603_1608Metric",149.002000,-68.074800,-90.000000,top
"R5","681R/0603/1%","R_0603_1608Metric",143.972000,-97.029800,180.000000,top
"R6","4.22k/0603/1%","R_0603_1608Metric",161.052000,-79.649800,180.000000,top
"R7","806R/0603/1%","R_0603_1608Metric",110.792000,-97.059800,180.000000,top
"R9","590R/0603/1%","R_0603_1608Metric",121.852000,-97.079800,180.000000,top
"R10","590R/0603/1%","R_0603_1608Metric",110.772000,-78.339800,180.000000,top
"R11","1.82k/0603/1%","R_0603_1608Metric",132.332000,-97.089800,180.000000,top
"R14","715k/0603/1%","R_0603_1608Metric",146.477000,-78.799800,180.000000,top
"R23","12.7k/0603/1%","R_0603_1608Metric",149.632000,-90.759800,90.000000,top
"R25","1k/0603/1%","R_0603_1608Metric",149.902000,-87.214800,90.000000,top
"R27","4.99k/0603/1%","R_0603_1608Metric",154.512000,-87.234800,-90.000000,top
"R28","4.99k/0603/1%","R_0603_1608Metric",156.062000,-87.244800,-90.000000,top
"R44","1M/0603/1%","R_0603_1608Metric",143.427000,-78.799800,180.000000,top
"Spare1","1723103102","MOLEX_1723103102",128.853250,-104.549800,0.000000,top
"U3","TPS259571DSGR","SON50P200X200X80-9N",145.674500,-69.369800,0.000000,top
"U4","TPS259571DSGR","SON50P200X200X80-9N",142.302000,-93.357300,-90.000000,top
"U5","TPS259571DSGR","SON50P200X200X80-9N",130.704500,-93.357300,-90.000000,top
"U8","TPS259571DSGR","SON50P200X200X80-9N",109.002000,-93.367300,-90.000000,top
"U9","TPS1HC30BQPWPRQ1","IC_TPS1HC30BQPWPRQ1",153.382000,-93.119800,-90.000000,top
"U10","TPS259571DSGR","SON50P200X200X80-9N",159.052000,-77.067300,-90.000000,top
"U11","TPS259571DSGR","SON50P200X200X80-9N",120.242000,-93.367300,-90.000000,top
"U12","TPS259571DSGR","SON50P200X200X80-9N",108.892000,-75.527300,-90.000000,top
"Winch1","1723103102","MOLEX_1723103102",151.762000,-104.549800,0.000000,top
